category	item	attribute	answer	page_url
countries_byGDP	Spain	Monarch of Spain	Felipe VI of Spain	https://en.wikipedia.org/wiki/Spain
athletes_byPayment	Stephen Curry		Golden State Warriors	https://en.wikipedia.org/wiki/Stephen_Curry
companies_byRevenue	Toyota		Akio Toyoda	https://en.wikipedia.org/wiki/Toyota
countries_byGDP	Canada	Prime Minister of Canada	Justin Trudeau	https://en.wikipedia.org/wiki/Canada
countries_byGDP	Japan	Prime Minister of Japan	Fumio Kishida	https://en.wikipedia.org/wiki/Japan
athletes_byPayment	Kevin Durant		Phoenix Suns	https://en.wikipedia.org/wiki/Kevin_Durant
companies_byRevenue	CVS Health		Larry Merlo	https://en.wikipedia.org/wiki/CVS_Health
companies_byRevenue	Gazprom		Alexey Miller	https://en.wikipedia.org/wiki/Gazprom
countries_byGDP	Netherlands	Prime Minister of the Netherlands	Mark Rutte	https://en.wikipedia.org/wiki/Netherlands
countries_byGDP	Belgium	Monarch of the Belgians	Philippe of Belgium	https://en.wikipedia.org/wiki/Belgium
countries_byGDP	Singapore	President of Singapore	Tharman Shanmugaratnam	https://en.wikipedia.org/wiki/Singapore
countries_byGDP	Egypt	President of Egypt	Abdel Fattah el-Sisi	https://en.wikipedia.org/wiki/Egypt
athletes_byPayment	Karim Benzema		Al Ittihad FC	https://en.wikipedia.org/wiki/Karim_Benzema
athletes_byPayment	Harry Kane		FC Bayern Munich	https://en.wikipedia.org/wiki/Harry_Kane
companies_byRevenue	Glencore		Gary Nagle	https://en.wikipedia.org/wiki/Glencore
countries_byGDP	Australia	monarch of Australia	Charles III of the United Kingdom	https://en.wikipedia.org/wiki/Australia
countries_byGDP	Italy	Prime Minister of Italy	Giorgia Meloni	https://en.wikipedia.org/wiki/Italy
athletes_byPayment	Kawhi Leonard		Toronto Raptors	https://en.wikipedia.org/wiki/Kawhi_Leonard
organizations	United Nations	general secretary	António Guterres	https://en.wikipedia.org/wiki/United_Nations
countries_byGDP	Czech Republic	Prime Minister of the Czech Republic	Petr Fiala	https://en.wikipedia.org/wiki/Czech_Republic
organizations	North Atlantic Treaty Organization	general secretary	Jens Stoltenberg	https://en.wikipedia.org/wiki/North_Atlantic_Treaty_Organization
athletes_byPayment	Paul George		Los Angeles Clippers	https://en.wikipedia.org/wiki/Paul_George
countries_byGDP	Philippines	President of the Philippines	Bongbong Marcos	https://en.wikipedia.org/wiki/Philippines
countries_byGDP	South Africa	President of South Africa	Cyril Ramaphosa	https://en.wikipedia.org/wiki/South_Africa
countries_byGDP	United States of America	President of the United States	Joe Biden	https://en.wikipedia.org/wiki/United_States_of_America
countries_byGDP	Saudi Arabia	King of Saudi Arabia	Salman bin Abdulaziz Al Saud	https://en.wikipedia.org/wiki/Saudi_Arabia
athletes_byPayment	Sergio Pérez		Red Bull Racing	https://en.wikipedia.org/wiki/Sergio_Pérez
countries_byGDP	Romania	President of Romania	Klaus Iohannis	https://en.wikipedia.org/wiki/Romania
countries_byGDP	Mexico	President of Mexico	Andrés Manuel López Obrador	https://en.wikipedia.org/wiki/Mexico
countries_byGDP	Thailand	King of Thailand	Vajiralongkorn	https://en.wikipedia.org/wiki/Thailand
countries_byGDP	South Korea	President of South Korea	Yoon Suk Yeol	https://en.wikipedia.org/wiki/South_Korea
companies_byRevenue	Shell		Wael Sawan	https://en.wikipedia.org/wiki/Shell
countries_byGDP	Thailand	Prime Minister of Thailand	Srettha Thavisin	https://en.wikipedia.org/wiki/Thailand
companies_byRevenue	Walmart		Doug McMillon	https://en.wikipedia.org/wiki/Walmart
countries_byGDP	Iran	President of Iran	Ebrahim Raisi	https://en.wikipedia.org/wiki/Iran
countries_byGDP	Iraq	President of Iraq	Abdul Latif Rashid	https://en.wikipedia.org/wiki/Iraq
countries_byGDP	Norway	Prime Minister of Norway	Jonas Gahr Støre	https://en.wikipedia.org/wiki/Norway
countries_byGDP	Russia	President of Russia	Vladimir Putin	https://en.wikipedia.org/wiki/Russia
companies_byRevenue	Apple		Tim Cook	https://en.wikipedia.org/wiki/Apple
organizations	World Bank	chairperson	Ajaypal Singh Banga	https://en.wikipedia.org/wiki/World_Bank
countries_byGDP	Canada	monarch of Canada	Charles III of the United Kingdom	https://en.wikipedia.org/wiki/Canada
countries_byGDP	Portugal	President of Portugal	Marcelo Rebelo de Sousa	https://en.wikipedia.org/wiki/Portugal
athletes_byPayment	Charles Leclerc		Scuderia Ferrari	https://en.wikipedia.org/wiki/Charles_Leclerc
countries_byGDP	Chile	President of Chile	Gabriel Boric	https://en.wikipedia.org/wiki/Chile
countries_byGDP	United Arab Emirates	President of the United Arab Emirates	Mohammed bin Zayed Al Nahyan	https://en.wikipedia.org/wiki/United_Arab_Emirates
athletes_byPayment	Pierre Gasly		Alpine F1 Team	https://en.wikipedia.org/wiki/Pierre_Gasly
countries_byGDP	Germany	president of Germany	Frank-Walter Steinmeier	https://en.wikipedia.org/wiki/Germany
countries_byGDP	China	Premier of the People's Republic of China	Li Qiang	https://en.wikipedia.org/wiki/China
countries_byGDP	Ireland	President of Ireland	Michael D. Higgins	https://en.wikipedia.org/wiki/Ireland
companies_byRevenue	TotalEnergies		Patrick Pouyanné	https://en.wikipedia.org/wiki/TotalEnergies
countries_byGDP	Argentina	President of Argentina	Javier Milei	https://en.wikipedia.org/wiki/Argentina
athletes_byPayment	Kylian Mbappé		Paris Saint-Germain F.C.	https://en.wikipedia.org/wiki/Kylian_Mbappé
companies_byRevenue	BP		Bernard Looney	https://en.wikipedia.org/wiki/BP
countries_byGDP	Poland	President of the Republic of Poland	Andrzej Duda	https://en.wikipedia.org/wiki/Poland
countries_byGDP	Czech Republic	President of the Czech Republic	Petr Pavel	https://en.wikipedia.org/wiki/Czech_Republic
athletes_byPayment	Fernando Alonso		Aston Martin F1 Team	https://en.wikipedia.org/wiki/Fernando_Alonso
countries_byGDP	Vietnam	Prime Minister of Vietnam	Phạm Minh Chính	https://en.wikipedia.org/wiki/Vietnam
companies_byRevenue	Ford Motor Company		Jim Farley	https://en.wikipedia.org/wiki/Ford_Motor_Company
countries_byGDP	Brazil	President of Brazil	Luiz Inácio Lula da Silva	https://en.wikipedia.org/wiki/Brazil
companies_byRevenue	Microsoft		Satya Nadella	https://en.wikipedia.org/wiki/Microsoft
countries_byGDP	Russia	Prime Minister of Russia	Mikhail Mishustin	https://en.wikipedia.org/wiki/Russia
countries_byGDP	Iraq	Prime Minister of Iraq	Mohammed Shia' Al Sudani	https://en.wikipedia.org/wiki/Iraq
companies_byRevenue	Volkswagen Group		Oliver Blume	https://en.wikipedia.org/wiki/Volkswagen_Group
